10000,??(??) 
10001,??2(??) 
10002,plate 
10003,Violin 
10004,Syringe 
10031,Copper Knife 
10032,Bronze Knife 
10033,Iron Knife 
10034,Pure Iron Knife 
10035,Falchion 
10036,Copper Falchion 
10037,Bronze Falchion 
10038,Iron Falchion 
10039,Pure Iron Falchion 
10040,Steel Broadswords 
10041,Copper Saber 
10042,Bronze Saber 
10043,Iron Saber 
10044,Pure Iron Saber 
10045,Steel Saber 
10046,Wind Rip 
10047,Crystal Knife 
10048,Crescent Knife 
10049,Moon Knife 
10050,Arabia Knife 
10051,Pirate Rip 
10052,Katana 
10053,Crescent Katana 
10054,Invisible Knife 
10055,Ghost Horn Knife 
10056,Poison Knife 
10057,Violet Falchion 
10058,Red Falchion 
10059,????(?) 
10060,?????(?) 
10061,????(?) 
10062,Broken Knife 
10063,Machete 
10064,Sharp Katana 
10065,Cold Falchion 
10066,Indian Machete 
10067,Warrior's Falchion 
10068,Steel Falchion 
10069,Killer Falchion 
10070,Warm Falchion 
10071,????(?) 
10072,????(?) 
10073,Samurai Katana 
10074,Wind Aurora Sword 
10075,Spring Katana 
10076,Lotus Falcon 
10077,Cracking Broadsword  
10078,Crescent Machete 
10079,Beast Bone Falchion 
10080,Chopping Falchion 
10081,Muramasa Katana 
10082,Cool Blue Falchion 
11031,Copper Sword 
11032,Bronze Sword 
11033,Iron Sword 
11034,Pure Iron Sword 
11035,Steel Sword 
11036,Copper Fine Sword 
11037,Bronze Fine Sword 
11038,Iron Fine Sword 
11039,Pure Iron Fine Sword 
11040,Steel Fine Sword 
11041,Copper Big Sword 
11042,Bronze Big Sword 
11043,Iron Big Sword 
11044,Pure Iron Big Sword 
11045,Steel Big Sword 
11046,Titanium Sword 
11047,Warriors Sword 
11048,Sky Sword+5 
11049,Round Sword 
11050,Lord Sword+5 
11051,Skeleton Sword 
11052,Skinny Bronze Sword 
11053,Skeleton Iron Sword 
11054,Skinny Iron Sword 
11055,Skeleton Steel Sword 
11056,????(?) 
11057,?????(?) 
11058,????(?) 
11059,??¡??(?) 
11060,Soul Sword 
11061,Rip Sword 
11062,Rip Bronze Sword 
11063,Rip Iron Sword 
11064,Rip Pure Iron Sword 
11065,Rip Steel Sword 
11066,???(?) 
11067,???(?) 
11068,???(?) 
11069,Wave Sword 
11070,Wave Bronze Sword 
11071,Wave Iron Sword 
11072,Curly Iron Sword 
11073,Wave Steel Sword 
11074,Western Sword 
11075,Thorn Sword 
11076,Perfect Sword 
11077,?????(?) 
11078,???(?) 
11079,????(?) 
11080,????(?) 
11081,?????(?) 
11082,????(?) 
11083,??¡??(?) 
11084,?????(?) 
11085,????(?) 
11086,??(?) 
11087,???(?) 
11088,????(?) 
11089,?????(?) 
11090,????(?) 
11091,????(?) 
11092,????(?) 
11093,????(?) 
11094,????(?) 
11095,????(?) 
11096,??(?) 
11097,??(?) 
11098,Broken Sword 
11099,Great Sword 
11100,Magellan's Sword 
11101,Sky Sword 
11102,Lord Sword 
11103,Sky Sword+1 
11104,Lord Sword+1 
11105,Sky Sword+2 
11106,Lord Sword+2 
11107,Sky Sword+3 
11108,Lord Sword+3 
11109,Frederico's Sword 
11110,Sky Sword+4 
11111,Lord Sword+4 
11112,Carl's Sword 
11113,Carl's Sword 
11114,Dragon Sword 
11115,Fire Sword 
11116,Twin Swords 
11117,Sky Sword+6 
11118,Lord Sword+6 
11119,Wolf Soul 
11120,Water Aurora Sword 
11121,Long Bronze Sword 
11122,Gold Rip Sword 
11123,Sunny Sword 
11124,Victoria's Sword 
11125,Guard's Sword 
11126,King Sword 
11127,Magic Sword 
11128,Twin Bluemoon Blades 
11129,Violet Sword 
11130,Sky Sword+7 
11131,Lord Sword+7 
11132,Immense Sword 
11133,Sky Sword+8 
11134,Lord Sword+8 
11135,Choppy Iron Sword 
11136,Dragon Rage Sword 
11137,Steel Rock Sword 
11138,Sky Sword +9 
11139,Lord Sword +9 
11140,Golden Broadsword 
11141,Silver Epee 
11142,Hell's Sword 
11143,Goddess' Sword 
11144,Swirling Blade 
11145,Frozen Dragon Sword 
12031,Spear 
12032,Great Spear  
12033,War Spear 
12034,Copper Spear 
12035,Bronze Spear 
12036,Iron Spear 
12037,Pure Iron Spear 
12038,Steel Spear 
12039,War Copper Spear 
12040,War Bronze Spear 
12041,War Iron Spear 
12042,War Pure Iron Spear 
12043,War Steel Spear 
12044,Long Spear 
12045,Rider's Spear 
12046,Perfect Spear  
12047,Broad Spear 
12048,Perfect Broad Spear 
12049,Skull Long Spear 
12050,Perfect Long Spear 
12051,Ghost Halberd 
12052,Goblin Halberd 
12053,War Halberd 
12054,King Halberd  
12055,Great Trident 
12056,Bronze Trident 
12057,Iron Trident  
12058,Pure Iron Trident 
12059,Steel Trident 
12060,Long Scythe 
12061,Death Scythe 
12062,Long Falchion 
12063,Knight's Spear 
12064,???(?) 
12065,Dragon's Wing Spear 
12066,???(?) 
12067,???(?) 
12068,?????(?) 
12069,Broken Halberd 
12070,Blade Halberd 
12071,Bronze Halberd 
12072,Beast Fork 
12073,Spirit Fork 
12074,Beast Fork+1 
12075,Spirit Fork+1 
12076,Beast Fork+2 
12077,Spirit Fork+2 
12078,Beast Fork+3 
12079,Spirit Fork+3 
12080,Beast Fork+4 
12081,Spirit Fork+4 
12082,Beast Fork+5 
12083,Spirit Fork+5 
12084,Cross Pike 
12085,Evil Fork 
12086,Soldier's Spear 
12087,Golden Pike 
12088,Sharp Pike 
12089,Acuminate Halberd 
12090,Black Spear 
12503,Athena's Spear 
12504,Beast Fork+6 
12505,Spirit Fork+6 
12506,Earth Aurora Sword 
12507,Fire Aurora Sword 
12091,Heavy Spear 
12092,Fast Cross Pike 
12093,Beast Fork+7 
12094,Beast Folk+7 
12095,Athena's Spear 
12096,Beast Fork+8 
12097,Beast Folk+8 
12098,Sky Halberd 
12099,Beast Fork +9 
12100,Spirit Fork +9 
12101,Thunder Spear 
12102,Thunder Spear+1 
12103,Thunder Spear+2 
12104,Thunder Spear+3 
12105,Thunder Spear+4 
12106,Thunder Spear+5 
12107,Thunder Spear+6 
12108,Thunder Spear+7 
12109,Thunder Spear+8 
12110,Thunder Spear+9 
12111,Dusk War Halberd 
